"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaoration rate experiment"
"12/04/2024 14:12:22:463 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks"
"677","67","125","50","1668","1668"
"674","67","125","50","1818","1818"
"676","67","125","50","1532","1532"
"672","67","125","50","1830","1830"
"675","67","125","50","1771","1771"
"678","67","125","50","1786","1786"
"680","67","125","50","1484","1484"
"681","68","125","50","1516","1516"
"679","67","125","50","1645","1645"
"682","68","125","50","1709","1709"
"683","68","125","50","1581","1581"
"684","68","125","50","1609","1609"
"686","68","125","50","1352","1352"
"685","68","125","50","1814","1814"
"687","68","125","50","1653","1653"
"690","68","125","50","1774","1774"
"688","68","125","50","1695","1695"
"689","68","125","50","1772","1772"
"691","69","125","50","1502","1502"
"695","69","125","50","1197","1197"
"692","69","125","50","1757","1757"
"693","69","125","50","1772","1772"
"694","69","125","50","1675","1675"
"696","69","125","50","1592","1592"
"697","69","125","50","1505","1505"
"699","69","125","50","1850","1850"
"701","70","125","50","1760","1760"
"698","69","125","50","1649","1649"
"700","69","125","50","1649","1649"
"703","70","125","50","1614","1614"
"702","70","125","50","1749","1749"
"704","70","125","50","1681","1681"
"705","70","125","50","1496","1496"
"708","70","125","50","1353","1353"
"706","70","125","50","1867","1867"
"710","70","125","50","1483","1483"
"709","70","125","50","1775","1775"
"707","70","125","50","1747","1747"
"714","71","125","50","1546","1546"
"711","71","125","50","1555","1555"
"712","71","125","50","1640","1640"
"713","71","125","50","2104","2104"
"716","71","125","50","1569","1569"
"715","71","125","50","1660","1660"
"718","71","125","50","1488","1488"
"720","71","125","50","1643","1643"
"717","71","125","50","1629","1629"
"725","72","125","50","1470","1470"
"722","72","125","50","1640","1640"
"721","72","125","50","1664","1664"
"719","71","125","50","1936","1936"
"723","72","125","50","1491","1491"
"727","72","125","50","1508","1508"
"724","72","125","50","1641","1641"
"729","72","125","50","1477","1477"
"726","72","125","50","2071","2071"
"731","73","125","50","1534","1534"
"728","72","125","50","1641","1641"
"730","72","125","50","1428","1428"
"733","73","125","50","1456","1456"
"734","73","125","50","1584","1584"
"732","73","125","50","1673","1673"
"736","73","125","50","1604","1604"
"738","73","125","50","1388","1388"
"735","73","125","50","1662","1662"
"740","73","125","50","1627","1627"
"737","73","125","50","1602","1602"
"741","74","125","50","1399","1399"
"739","73","125","50","1409","1409"
"747","74","125","50","1523","1523"
"742","74","125","50","1573","1573"
"744","74","125","50","1744","1744"
"743","74","125","50","1703","1703"
"748","74","125","50","1447","1447"
"745","74","125","50","1835","1835"
"746","74","125","50","1910","1910"
"749","74","125","50","1795","1795"
"753","75","125","50","1327","1327"
"751","75","125","50","1369","1369"
"750","74","125","50","1606","1606"
"752","75","125","50","1601","1601"
"755","75","125","50","1494","1494"
"756","75","125","50","1386","1386"
"758","75","125","50","1623","1623"
"754","75","125","50","1514","1514"
"757","75","125","50","1427","1427"
"759","75","125","50","1624","1624"
"760","75","125","50","1562","1562"
"761","76","125","50","1566","1566"
"762","76","125","50","1532","1532"
"764","76","125","50","1535","1535"
"763","76","125","50","1569","1569"
"767","76","125","50","1309","1309"
"769","76","125","50","1258","1258"
"765","76","125","50","1792","1792"
"771","77","125","50","1438","1438"
"768","76","125","50","1587","1587"
"766","76","125","50","1613","1613"
"772","77","125","50","1553","1553"
"770","76","125","50","1507","1507"
"773","77","125","50","1505","1505"
"774","77","125","50","1611","1611"
"779","77","125","50","1364","1364"
"775","77","125","50","1410","1410"
"776","77","125","50","1591","1591"
"777","77","125","50","1358","1358"
"782","78","125","50","1484","1484"
"778","77","125","50","1688","1688"
"783","78","125","50","1472","1472"
"780","77","125","50","1664","1664"
"781","78","125","50","1723","1723"
"784","78","125","50","1382","1382"
"785","78","125","50","1369","1369"
"786","78","125","50","1710","1710"
"790","78","125","50","1630","1630"
"788","78","125","50","1576","1576"
"789","78","125","50","1498","1498"
"787","78","125","50","1438","1438"
"793","79","125","50","1260","1260"
"792","79","125","50","1539","1539"
"791","79","125","50","1793","1793"
"794","79","125","50","1471","1471"
"795","79","125","50","1682","1682"
"797","79","125","50","1549","1549"
"796","79","125","50","1354","1354"
"798","79","125","50","1776","1776"
"800","79","125","50","1492","1492"
"799","79","125","50","1672","1672"
"801","80","125","50","1439","1439"
"802","80","125","50","1478","1478"
"804","80","125","50","1354","1354"
"803","80","125","50","1514","1514"
"805","80","125","50","1421","1421"
"807","80","125","50","1485","1485"
"809","80","125","50","1397","1397"
"806","80","125","50","1682","1682"
"808","80","125","50","1504","1504"
"811","81","125","50","1307","1307"
"813","81","125","50","1334","1334"
"810","80","125","50","1415","1415"
"814","81","125","50","1328","1328"
"816","81","125","50","1264","1264"
"812","81","125","50","1629","1629"
"815","81","125","50","1679","1679"
"818","81","125","50","1454","1454"
"817","81","125","50","1652","1652"
"819","81","125","50","1575","1575"
"820","81","125","50","1365","1365"
"822","82","125","50","1229","1229"
"821","82","125","50","1545","1545"
"823","82","125","50","1369","1369"
"824","82","125","50","1464","1464"
"825","82","125","50","1508","1508"
"828","82","125","50","1615","1615"
"826","82","125","50","1487","1487"
"829","82","125","50","1647","1647"
"827","82","125","50","1655","1655"
"832","83","125","50","1297","1297"
"833","83","125","50","1330","1330"
"831","83","125","50","1381","1381"
"830","82","125","50","1525","1525"
"834","83","125","50","1401","1401"
"835","83","125","50","1510","1510"
"837","83","125","50","1234","1234"
"836","83","125","50","1187","1187"
"839","83","125","50","1496","1496"
"840","83","125","50","1470","1470"
"838","83","125","50","1484","1484"
