"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Ants.nlogo"
"Evaporation rate experiment"
"12/06/2024 23:13:31:351 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","evaporation-rate","population","diffusion-rate","[step]","ticks","ticks_blue","ticks_sky","ticks_cyan"
"448","20","125","50","2734","2734","2734","1287","243"
"444","20","125","50","2949","2949","2949","1052","254"
"445","20","125","50","3351","3351","3351","741","252"
"451","20","125","50","2783","2783","2783","644","265"
"449","20","125","50","2652","2652","2652","419","327"
"447","20","125","50","3443","3443","3443","1055","241"
"450","20","125","50","2957","2957","2957","711","253"
"453","20","125","50","2752","2752","2752","1151","275"
"454","20","125","50","2729","2729","2729","494","245"
"452","20","125","50","3073","3073","3073","730","231"
"455","20","125","50","2623","2623","2623","425","395"
"457","20","125","50","2614","2614","2614","862","250"
"456","20","125","50","2933","2933","2933","559","261"
"460","20","125","50","2670","2670","2670","520","282"
"463","20","125","50","2525","2525","2525","657","211"
"458","20","125","50","2836","2836","2836","678","275"
"459","20","125","50","3106","3106","3106","567","257"
"461","20","125","50","2988","2988","2988","567","217"
"468","20","125","50","2817","2817","2817","512","209"
"465","20","125","50","3091","3091","3091","1796","192"
"467","20","125","50","2623","2623","2623","1540","224"
"464","20","125","50","2674","2674","2674","2090","262"
"470","20","125","50","3082","3082","3082","764","205"
"462","20","125","50","3244","3244","3244","735","213"
"469","20","125","50","3089","3089","3089","962","225"
"466","20","125","50","2665","2665","2665","763","231"
"475","20","125","50","2111","2111","2111","778","268"
"471","20","125","50","3159","3159","3159","930","211"
"477","20","125","50","2760","2760","2760","706","221"
"472","20","125","50","2626","2626","2626","1621","196"
"474","20","125","50","2801","2801","2801","1064","272"
"479","20","125","50","3048","3048","3048","655","244"
"473","20","125","50","3085","3085","3085","1314","197"
"478","20","125","50","2746","2746","2746","683","220"
"481","20","125","50","2483","2483","2483","403","325"
"476","20","125","50","3348","3348","3348","572","245"
"480","20","125","50","2500","2500","2500","554","247"
"483","20","125","50","3050","3050","3050","726","236"
"482","20","125","50","3016","3016","3016","1338","181"
"484","20","125","50","2797","2797","2797","557","236"
"488","20","125","50","2934","2934","2934","1352","238"
"485","20","125","50","3058","3058","3058","638","209"
"491","20","125","50","2776","2776","2776","1063","250"
"487","20","125","50","2985","2985","2985","644","306"
"492","20","125","50","2980","2980","2980","1224","218"
"490","20","125","50","2943","2943","2943","355","242"
"489","20","125","50","2982","2982","2982","680","305"
"493","20","125","50","2350","2350","2350","838","246"
"494","20","125","50","3129","3129","3129","858","237"
"486","20","125","50","3140","3140","3140","1574","266"
"496","20","125","50","2994","2994","2994","619","218"
"497","20","125","50","3328","3328","3328","793","246"
"495","20","125","50","3062","3062","3062","768","227"
"498","20","125","50","2867","2867","2867","1057","184"
"499","20","125","50","2847","2847","2847","1372","291"
"501","25","125","50","2897","2897","2897","1482","256"
"505","25","125","50","2784","2784","2784","327","455"
"502","25","125","50","2688","2688","2688","1441","262"
"500","20","125","50","2961","2961","2961","746","242"
"503","25","125","50","2658","2658","2658","1612","339"
"504","25","125","50","2679","2679","2679","1559","261"
"508","25","125","50","2591","2591","2591","1159","253"
"507","25","125","50","2839","2839","2839","1243","262"
"506","25","125","50","2847","2847","2847","1501","224"
"513","25","125","50","2711","2711","2711","1166","328"
"510","25","125","50","2761","2761","2761","1094","261"
"511","25","125","50","2685","2685","2685","1158","296"
"512","25","125","50","2350","2350","2350","1437","273"
"509","25","125","50","2621","2621","2621","1528","229"
"518","25","125","50","2697","2697","2697","1482","225"
"514","25","125","50","2698","2698","2698","1339","209"
"516","25","125","50","2777","2777","2777","1384","271"
"515","25","125","50","3041","3041","3041","1283","265"
"519","25","125","50","2804","2804","2804","1379","330"
"517","25","125","50","2615","2615","2615","1336","267"
"521","25","125","50","3164","3164","3164","1447","365"
"526","25","125","50","2404","2404","2404","1333","294"
"522","25","125","50","2888","2888","2888","1301","250"
"524","25","125","50","2784","2784","2784","677","263"
"523","25","125","50","3001","3001","3001","1647","305"
"520","25","125","50","3001","3001","3001","403","758"
"525","25","125","50","2666","2666","2666","1153","304"
"527","25","125","50","2966","2966","2966","1472","260"
"528","25","125","50","2733","2733","2733","1215","280"
"529","25","125","50","2918","2918","2918","1511","281"
"532","25","125","50","2281","2281","2281","1490","278"
"533","25","125","50","2460","2460","2460","1524","271"
"530","25","125","50","3008","3008","3008","920","240"
"531","25","125","50","2666","2666","2666","1419","222"
"534","25","125","50","2776","2776","2776","1522","250"
"535","25","125","50","2787","2787","2787","1488","440"
"536","25","125","50","3031","3031","3031","941","246"
"537","25","125","50","2516","2516","2516","617","290"
"538","25","125","50","2909","2909","2909","1456","270"
"539","25","125","50","2770","2770","2770","1723","306"
"540","25","125","50","2600","2600","2600","1149","213"
"543","25","125","50","3032","3032","3032","1588","321"
"542","25","125","50","3057","3057","3057","1567","260"
"541","25","125","50","2579","2579","2579","1207","292"
"544","25","125","50","2667","2667","2667","1564","235"
"545","25","125","50","2969","2969","2969","1190","284"
"546","25","125","50","2866","2866","2866","1498","288"
"548","25","125","50","2497","2497","2497","1621","309"
"547","25","125","50","2872","2872","2872","1238","236"
"554","25","125","50","2514","2514","2514","1590","251"
"550","25","125","50","2754","2754","2754","1703","344"
"553","25","125","50","3297","3297","3297","1343","250"
